callback({"list": name,position,team
Michael Bennett,DT,Jacksonville Jaguars
Michael Bennett,WR,Cincinnati Bengals
Bene Benwikere,CB,Carolina Panthers
Joe Berger,C,Minnesota Vikings
Tony Bergstrom,C,Houston Texans
Nat Berhe,S,New York Giants
Mackenzy Bernadeau,G,Jacksonville Jaguars
Giovani Bernard,RB,Cincinnati Bengals
Eric Berry,S,Kansas City Chiefs
Jordan Berry,P,Pittsburgh Steelers
Brenton Bersin,WR,Carolina Panthers
Antoine Bethea,S,San Francisco 49ers
Justin Bethel,CB,Arizona Cardinals
McLeod Bethel-Thompson,QB,Philadelphia Eagles
Brennen Beyer,LB,Baltimore Ravens
E.J. Bibbs,TE,Cleveland Browns
Kapri Bibbs,RB,Denver Broncos
E.J. Biggers,CB,New England Patriots
Christo Bilukidi,DT,Washington Redskins
Desmond Bishop,LB,Washington Redskins
Freddie Bishop III,LB,New York Jets
Joel Bitonio,T,Cleveland Browns
Angelo Blackson,DE,Tennessee Titans
Antwon Blake,CB,Tennessee Titans
Issac Blakeney,WR,Pittsburgh Steelers
Matt Blanchard,QB,Chicago Bears
Robert Blanton,S,Buffalo Bills
Brian Blechen,LB,Carolina Panthers
LeGarrette Blount,RB,New England Patriots
Alfred Blue,RB,Houston Texans
Russell Bodine,C,Cincinnati Bengals
Conor Boffeli,G,Cleveland Browns
Taylor Boggs,G,Arizona Cardinals
Tommy Bohanon,RB,New York Jets
Brandon Bolden,RB,New England Patriots
Omar Bolden,S,Chicago Bears
Clint Boling,G,Cincinnati Bengals
Alex Boone,G,Minnesota Vikings
Cody Booth,T,Washington Redskins
Blake Bortles,QB,Jacksonville Jaguars
Matt Bosher,P,Atlanta Falcons
Jonathan Bostic,LB,New England Patriots
Brandon Bostick,TE,New York Jets
Tre Boston,S,Carolina Panthers
Chris Boswell,K,Pittsburgh Steelers
A.J. Bouye,CB,Houston Texans
Luke Bowanko,C,Jacksonville Jaguars
Dwayne Bowe,WR,Cleveland Browns
Michael Bowie,T,Cleveland Browns
NaVorro Bowman,LB,San Francisco 49ers
Josh Boyce,WR,Indianapolis Colts
Josh Boyd,DT,Green Bay Packers
Brandon Boykin,CB,Carolina Panthers
Jarrett Boykin,WR,Buffalo Bills
Brett Boyko,G,Philadelphia Eagles
Nick Boyle,TE,Baltimore Ravens
Carl Bradford,LB,Green Bay Packers
Sam Bradford,QB,Philadelphia Eagles
Nigel Bradham,LB,Philadelphia Eagles
Tom Brady,QB,New England Patriots
Bryan Braman,DE,Philadelphia Eagles
Alan Branch,DT,New England Patriots
Andre Branch,DE,Miami Dolphins
Tyvon Branch,S,Arizona Cardinals
Cameron Brate,TE,Tampa Bay Buccaneers
Quan Bray,WR,Indianapolis Colts
Tyler Bray,QB,Kansas City Chiefs
Delvin Breaux,CB,New Orleans Saints
Bashaud Breeland,CB,Washington Redskins
Drew Brees,QB,New Orleans Saints
Sam Brenner,C,Denver Broncos
Aaron Brewer,LB,Chicago Bears
Teddy Bridgewater,QB,Minnesota Vikings
Beau Brinkley,TE,Tennessee Titans
Jasper Brinkley,LB,New York Giants
Justin Britt,T,Seattle Seahawks
Kenny Britt,WR,Los Angeles Rams
Tramaine Brock,CB,San Francisco 49ers
Michael Brockers,DT,Los Angeles Rams
Jay Bromley,DT,New York Giants
Ahmad Brooks,LB,San Francisco 49ers
Brandon Brooks,G,Philadelphia Eagles
Cariel Brooks,CB,Arizona Cardinals
Ron Brooks,CB,Philadelphia Eagles
Terrence Brooks,S,Baltimore Ravens
Antonio Brown,WR,Pittsburgh Steelers
Arthur Brown,LB,Baltimore Ravens
Charles Brown,T,Dallas Cowboys
Chykie Brown,CB,Cincinnati Bengals
Corey Brown,WR,Carolina Panthers
Da'Ron Brown,WR,Kansas City Chiefs
Daniel Brown,WR,Baltimore Ravens
Donald Brown,RB,New England Patriots
Duane Brown,T,Houston Texans
Jalil Brown,CB,Indianapolis Colts
Jamon Brown,G,Los Angeles Rams
Jaron Brown,WR,Arizona Cardinals
John Brown,WR,Arizona Cardinals
Josh Brown,K,New York Giants
Kourtnei Brown,LB,Tampa Bay Buccaneers
Leon Brown,G,Baltimore Ravens
Mack Brown,RB,Washington Redskins
Malcolm Brown,RB,Los Angeles Rams
Malcom Brown,DT,New England Patriots
Marlon Brown,WR,Baltimore Ravens
Preston Brown,LB,Buffalo Bills
Sergio Brown,S,Jacksonville Jaguars
Stevie Brown,S,Kansas City Chiefs
Trenton Brown,G,San Francisco 49ers
Zach Brown,LB,Buffalo Bills
Brandon Browner,CB,Seattle Seahawks
Keith Browner,DE,Chicago Bears
David Bruton Jr.,S,Washington Redskins
Armonty Bryant,LB,Cleveland Browns
Christian Bryant,S,Los Angeles Rams
Corbin Bryant,DT,Buffalo Bills
Desmond Bryant,DE,Cleveland Browns
Dez Bryant,WR,Dallas Cowboys
Martavis Bryant,WR,Pittsburgh Steelers
Matt Bryant,K,Atlanta Falcons
Red Bryant,DE,Arizona Cardinals
Deone Bucannon,S,Arizona Cardinals
Bryan Bulaga,T,Green Bay Packers
Max Bullough,LB,Houston Texans
Malcolm Bunche,G,Philadelphia Eagles
Vontaze Burfict,LB,Cincinnati Bengals
Rex Burkhead,RB,Cincinnati Bengals
Marcus Burley,CB,Seattle Seahawks
Morgan Burnett,S,Green Bay Packers
Isaiah Burse,WR,San Diego Chargers
Michael Burton,RB,Detroit Lions
Pierce Burton,T,Indianapolis Colts
Trey Burton,TE,Philadelphia Eagles
Tyreek Burwell,T,San Diego Chargers
Rafael Bush,S,Detroit Lions
Jermon Bushrod,T,Miami Dolphins
Brice Butler,WR,Dallas Cowboys
Crezdon Butler,CB,Detroit Lions
Darius Butler,CB,Indianapolis Colts
Drew Butler,P,Arizona Cardinals
Jeremy Butler,WR,Baltimore Ravens
Malcolm Butler,CB,New England Patriots
Mario Butler,CB,Buffalo Bills
Carter Bykowski,T,Minnesota Vikings
Carrington Byndom,CB,Arizona Cardinals
Josh Bynes,LB,Detroit Lions
Damiere Byrd,WR,Carolina Panthers
Jairus Byrd,S,New Orleans Saints
LaRon Byrd,WR,Washington Redskins
,
,
Travaris Cadet,RB,New Orleans Saints
Bryce Callahan,CB,Chicago Bears
Jordan Cameron,TE,Miami Dolphins
Michael Campanaro,WR,Baltimore Ravens
Calais Campbell,DE,Arizona Cardinals
DiAndre Campbell,WR,San Francisco 49ers
Ibraheim Campbell,S,Cleveland Browns
William Campbell,G,Green Bay Packers
A.J. Cann,G,Jacksonville Jaguars
Marcus Cannon,T,New England Patriots
Nordly Capi,DE,Baltimore Ravens
Tank Carder,LB,Cleveland Browns
Joe Cardona,LB,New England Patriots
Don Carey,S,Detroit Lions
Ka'Deem Carey,RB,Chicago Bears
Dan Carpenter,K,Buffalo Bills
James Carpenter,G,New York Jets
Brandon Carr,CB,Dallas Cowboys
Derek Carr,QB,Oakland Raiders
Deveron Carr,CB,Kansas City Chiefs
Tank Carradine,DT,San Francisco 49ers
Ryan Carrethers,NT,San Diego Chargers
TJ Carrie,CB,Oakland Raiders
Derek Carrier,TE,Washington Redskins
Nolan Carroll,CB,Philadelphia Eagles
Alex Carter,CB,Detroit Lions
Bruce Carter,LB,New York Jets
Chris Carter,LB,Baltimore Ravens
DeAndre Carter,WR,New England Patriots
Tony Carter,CB,New Orleans Saints
Chance Casey,CB,Jacksonville Jaguars
Jurrell Casey,DT,Tennessee Titans
Jonathan Casillas,LB,New York Giants
Matt Cassel,QB,Tennessee Titans
Anthony Castonzo,T,Indianapolis Colts
Chandler Catanzaro,K,Arizona Cardinals
Mike Catapano,DE,New York Jets
Braxston Cave,C,Detroit Lions
Brent Celek,TE,Philadelphia Eagles
Garrett Celek,TE,San Francisco 49ers
Kam Chancellor,S,Seattle Seahawks
Tyson Chandler,T,Buffalo Bills
Jamaal Charles,RB,Kansas City Chiefs
Stefan Charles,DT,Detroit Lions
Chimdi Chekwa,CB,Miami Dolphins
Gosder Cherilus,T,Tampa Bay Buccaneers
Anthony Chickillo,LB,Pittsburgh Steelers
Gerald Christian,TE,Arizona Cardinals
Patrick Chung,S,New England Patriots
Barry Church,S,Dallas Cowboys
Ryan Clady,T,New York Jets
Morris Claiborne,CB,Dallas Cowboys
Chris Clark,T,Houston Texans
Frank Clark,DE,Seattle Seahawks
Steven Clarke,CB,Tennessee Titans
Will Clarke,DE,Cincinnati Bengals
Blaine Clausell,T,Baltimore Ravens
Charles Clay,TE,Buffalo Bills
Kaelin Clay,WR,Baltimore Ravens
Adrian Clayborn,DE,Atlanta Falcons
Cameron Clear,TE,Indianapolis Colts
Emmett Cleary,T,New York Giants
Kellen Clemens,QB,San Diego Chargers
T.J. Clemmings,T,Minnesota Vikings
Chris Clemons,DE,Seattle Seahawks
Chris Clemons,S,Arizona Cardinals
Asante Cleveland,TE,San Diego Chargers
Reshard Cliett,LB,Houston Texans
Ha Ha Clinton-Dix,S,Green Bay Packers
Jadeveon Clowney,LB,Houston Texans
Sammie Coates,WR,Pittsburgh Steelers
David Cobb,RB,Tennessee Titans
Randall Cobb,WR,Green Bay Packers
Ross Cockrell,CB,Pittsburgh Steelers
Takoby Cofield,T,Washington Redskins
Audie Cole,LB,Minnesota Vikings
Trent Cole,LB,Indianapolis Colts
Brandon Coleman,WR,New Orleans Saints
Davon Coleman,DT,Tampa Bay Buccaneers
Deandre Coleman,DT,Miami Dolphins
Justin Coleman,CB,New England Patriots
Kurt Coleman,S,Carolina Panthers
Tevin Coleman,RB,Atlanta Falcons
Jalen Collins,CB,Atlanta Falcons
Jamie Collins,LB,New England Patriots
La'el Collins,G,Dallas Cowboys
Landon Collins,S,New York Giants
Britton Colquitt,P,Denver Broncos
Dustin Colquitt,P,Kansas City Chiefs
Kain Colter,WR,Los Angeles Rams
Aaron Colvin,CB,Jacksonville Jaguars
Tom Compton,T,Atlanta Falcons
Will Compton,LB,Washington Redskins
Jon Condo,LB,Oakland Raiders
Chris Conley,WR,Kansas City Chiefs
Chris Conte,S,Tampa Bay Buccaneers
Jared Cook,TE,Green Bay Packers
Kenny Cook,WR,Kansas City Chiefs
Brandin Cooks,WR,New Orleans Saints
Travis Coons,K,Cleveland Browns
Amari Cooper,WR,Oakland Raiders
Jonathan Cooper,G,New England Patriots
Marcus Cooper,CB,Kansas City Chiefs
Xavier Cooper,DE,Cleveland Browns
Brandon Copeland,LB,Detroit Lions
Damian Copeland,WR,Jacksonville Jaguars
Quinton Coples,DE,Los Angeles Rams
Brandon Cottom,RB,Seattle Seahawks
Edawn Coughman,G,Arizona Cardinals
Jerome Couplin,S,Philadelphia Eagles
Kirk Cousins,QB,Washington Redskins
Christian Covington,DT,Houston Texans
Fletcher Cox,DT,Philadelphia Eagles
Morgan Cox,C,Baltimore Ravens
Perrish Cox,CB,Tennessee Titans
Rakim Cox,DE,Carolina Panthers
Brock Coyle,LB,Seattle Seahawks
Michael Crabtree,WR,Oakland Raiders
Corey Crawford,DE,Washington Redskins
Jack Crawford,DT,Dallas Cowboys
Richard Crawford,CB,San Diego Chargers
Tyrone Crawford,DT,Dallas Cowboys
Scott Crichton,DE,Minnesota Vikings
Jared Crick,DE,Denver Broncos
Rob Crisp,T,Arizona Cardinals
John Crockett,RB,Green Bay Packers
Marcus Cromartie,CB,San Francisco 49ers
Mason Crosby,K,Green Bay Packers
